product_name,date,quantity_sold,price_per_kg
Banana,2023-01-25,246,57
Mango,2023-01-25,350,33
Orange,2023-01-25,485,61
Papaya,2023-01-25,307,10
Grapes,2023-01-25,388,75
Tomato,2023-01-26,317,113
Potato,2023-01-26,290,108
Onion,2023-01-26,375,17
Carrot,2023-01-26,360,31
Cabbage,2023-01-26,363,100
Brinjal,2023-01-26,389,30
Cauliflower,2023-01-26,264,118
Spinach,2023-01-26,148,71
Beans,2023-01-26,109,34
Apple,2023-01-26,64,82
Banana,2023-01-26,400,102
Mango,2023-01-26,85,16
Orange,2023-01-26,283,33
Papaya,2023-01-26,453,68
Grapes,2023-01-26,285,47
Tomato,2023-01-27,489,59
Potato,2023-01-27,163,49
Onion,2023-01-27,285,90
Carrot,2023-01-27,478,88
Cabbage,2023-01-27,378,41
Brinjal,2023-01-27,475,33
Cauliflower,2023-01-27,368,113
Spinach,2023-01-27,342,53
Beans,2023-01-27,64,22
Apple,2023-01-27,103,70
Banana,2023-01-27,441,26
Mango,2023-01-27,494,17
Orange,2023-01-27,214,95
Papaya,2023-01-27,487,18
Grapes,2023-01-27,461,10
Tomato,2023-01-28,473,17
Potato,2023-01-28,474,41
Onion,2023-01-28,288,86
Carrot,2023-01-28,334,66
Cabbage,2023-01-28,72,71
Brinjal,2023-01-28,468,77
Cauliflower,2023-01-28,280,56
Spinach,2023-01-28,181,114
Beans,2023-01-28,161,10
Apple,2023-01-28,335,71
Banana,2023-01-28,55,42
Mango,2023-01-28,103,26
Orange,2023-01-28,146,120
Papaya,2023-01-28,223,89
Grapes,2023-01-28,238,48
Tomato,2023-01-29,367,46
Potato,2023-01-29,390,27
Onion,2023-01-29,178,76
Carrot,2023-01-29,445,55
Cabbage,2023-01-29,311,42
Brinjal,2023-01-29,289,14
Cauliflower,2023-01-29,481,36
Spinach,2023-01-29,198,102
Beans,2023-01-29,166,48
Apple,2023-01-29,160,115
Banana,2023-01-29,367,55
Mango,2023-01-29,277,70
Orange,2023-01-29,406,95
Papaya,2023-01-29,358,50
Grapes,2023-01-29,307,65
Tomato,2023-01-30,62,43
Potato,2023-01-30,346,12
Onion,2023-01-30,280,101
Carrot,2023-01-30,64,10
Cabbage,2023-01-30,318,56
Brinjal,2023-01-30,271,25
Cauliflower,2023-01-30,351,74
Spinach,2023-01-30,192,58
Beans,2023-01-30,112,28
Apple,2023-01-30,256,28
Banana,2023-01-30,120,61
Mango,2023-01-30,65,47
Orange,2023-01-30,459,71
Papaya,2023-01-30,211,57
Grapes,2023-01-30,384,108
Tomato,2023-01-31,465,108
Potato,2023-01-31,441,88
Onion,2023-01-31,77,109
Carrot,2023-01-31,90,109
Cabbage,2023-01-31,290,16
Brinjal,2023-01-31,473,115
Cauliflower,2023-01-31,380,80
Spinach,2023-01-31,495,81
Beans,2023-01-31,109,12
Apple,2023-01-31,78,35
Banana,2023-01-31,81,94
Mango,2023-01-31,373,37
Orange,2023-01-31,274,89
Papaya,2023-01-31,233,56
Grapes,2023-01-31,401,99
Tomato,2023-02-01,452,34
Potato,2023-02-01,351,48
Onion,2023-02-01,405,58
Carrot,2023-02-01,159,100
Cabbage,2023-02-01,291,90
Brinjal,2023-02-01,153,97
Cauliflower,2023-02-01,201,45
Spinach,2023-02-01,399,10
Beans,2023-02-01,374,92
Apple,2023-02-01,380,60
Banana,2023-02-01,461,87
Mango,2023-02-01,272,88
Orange,2023-02-01,344,63
Papaya,2023-02-01,262,62
Grapes,2023-02-01,359,51
Tomato,2023-02-02,279,97
Potato,2023-02-02,466,54
Onion,2023-02-02,472,72
Carrot,2023-02-02,478,111
Cabbage,2023-02-02,475,80
Brinjal,2023-02-02,403,97
Cauliflower,2023-02-02,105,43
Spinach,2023-02-02,478,49
Beans,2023-02-02,118,15
Apple,2023-02-02,83,79
Banana,2023-02-02,104,102
Mango,2023-02-02,341,59
Orange,2023-02-02,363,37
Papaya,2023-02-02,52,73
Grapes,2023-02-02,57,68
Tomato,2023-02-03,275,31
Potato,2023-02-03,456,33
Onion,2023-02-03,225,113
Carrot,2023-02-03,247,19
Cabbage,2023-02-03,397,48
Brinjal,2023-02-03,417,28
Cauliflower,2023-02-03,290,59
Spinach,2023-02-03,455,103
Beans,2023-02-03,75,64
Apple,2023-02-03,406,94
Banana,2023-02-03,375,49
Mango,2023-02-03,119,26
Orange,2023-02-03,224,74
Papaya,2023-02-03,494,63
Grapes,2023-02-03,336,54
Tomato,2023-02-04,92,87
Potato,2023-02-04,496,26
Onion,2023-02-04,276,109
Carrot,2023-02-04,257,56
Cabbage,2023-02-04,191,115
Brinjal,2023-02-04,399,25
Cauliflower,2023-02-04,370,80
Spinach,2023-02-04,324,111
Beans,2023-02-04,292,55
Apple,2023-02-04,97,45
Banana,2023-02-04,388,43
Mango,2023-02-04,454,78
Orange,2023-02-04,344,27
Papaya,2023-02-04,112,42
Grapes,2023-02-04,98,62
Tomato,2023-02-05,197,71
Potato,2023-02-05,190,69
Onion,2023-02-05,276,55
Carrot,2023-02-05,58,91
Cabbage,2023-02-05,220,26
Brinjal,2023-02-05,74,112
Cauliflower,2023-02-05,181,104
Spinach,2023-02-05,390,95
Beans,2023-02-05,431,28
Apple,2023-02-05,302,59
Banana,2023-02-05,177,19
Mango,2023-02-05,63,54
Orange,2023-02-05,188,13
Papaya,2023-02-05,85,101
Grapes,2023-02-05,143,32
Tomato,2023-02-06,189,88
Potato,2023-02-06,393,71
Onion,2023-02-06,360,95
Carrot,2023-02-06,240,65
Cabbage,2023-02-06,289,56
Brinjal,2023-02-06,358,56
Cauliflower,2023-02-06,471,112
Spinach,2023-02-06,470,15
Beans,2023-02-06,181,114
Apple,2023-02-06,147,86
Banana,2023-02-06,341,30
Mango,2023-02-06,197,115
Orange,2023-02-06,101,39
Papaya,2023-02-06,351,96
Grapes,2023-02-06,70,87
Tomato,2023-02-07,235,110
Potato,2023-02-07,118,16
Onion,2023-02-07,498,32
Carrot,2023-02-07,482,59
Cabbage,2023-02-07,97,67
Brinjal,2023-02-07,121,119
Cauliflower,2023-02-07,372,108
Spinach,2023-02-07,273,63
Beans,2023-02-07,437,59
Apple,2023-02-07,212,29
Banana,2023-02-07,246,33
Mango,2023-02-07,144,113
Orange,2023-02-07,260,117
Papaya,2023-02-07,266,94
Grapes,2023-02-07,184,71
Tomato,2023-02-08,214,59
Potato,2023-02-08,419,66
Onion,2023-02-08,435,31
Carrot,2023-02-08,300,113
Cabbage,2023-02-08,325,41
Brinjal,2023-02-08,452,56
Cauliflower,2023-02-08,264,49
Spinach,2023-02-08,447,69
Beans,2023-02-08,101,67
Apple,2023-02-08,353,35
Banana,2023-02-08,443,78
Mango,2023-02-08,351,114
Orange,2023-02-08,325,35
Papaya,2023-02-08,184,73
Grapes,2023-02-08,417,48
Tomato,2023-02-09,173,65
Potato,2023-02-09,140,91
Onion,2023-02-09,377,14
Carrot,2023-02-09,53,36
Cabbage,2023-02-09,54,104
Brinjal,2023-02-09,408,91
Cauliflower,2023-02-09,104,78
Spinach,2023-02-09,203,66
Beans,2023-02-09,203,28
Apple,2023-02-09,429,47
Banana,2023-02-09,122,16
Mango,2023-02-09,302,51
Orange,2023-02-09,445,57
Papaya,2023-02-09,151,90
Grapes,2023-02-09,146,96
Tomato,2023-02-10,447,91
Potato,2023-02-10,488,101
Onion,2023-02-10,470,106
Carrot,2023-02-10,234,74
Cabbage,2023-02-10,184,28
Brinjal,2023-02-10,376,42
Cauliflower,2023-02-10,193,45
Spinach,2023-02-10,123,12
Beans,2023-02-10,249,11
Apple,2023-02-10,354,51
Banana,2023-02-10,222,60
Mango,2023-02-10,102,96
Orange,2023-02-10,112,34
Papaya,2023-02-10,245,82
Grapes,2023-02-10,375,86
Tomato,2023-02-11,237,120
Potato,2023-02-11,485,34
Onion,2023-02-11,426,112
Carrot,2023-02-11,95,27
Cabbage,2023-02-11,266,13
Brinjal,2023-02-11,300,37
Cauliflower,2023-02-11,61,74
Spinach,2023-02-11,338,114
Beans,2023-02-11,102,73
Apple,2023-02-11,127,24
Banana,2023-02-11,441,50
Mango,2023-02-11,343,47
Orange,2023-02-11,53,24
Papaya,2023-02-11,397,115
Grapes,2023-02-11,295,18
Tomato,2023-02-12,330,63
Potato,2023-02-12,385,103
Onion,2023-02-12,229,62
Carrot,2023-02-12,221,82
Cabbage,2023-02-12,235,23
Brinjal,2023-02-12,207,82
Cauliflower,2023-02-12,322,89
Spinach,2023-02-12,120,61
Beans,2023-02-12,391,30
Apple,2023-02-12,176,43
Banana,2023-02-12,59,27
Mango,2023-02-12,352,112
Orange,2023-02-12,139,65
Papaya,2023-02-12,467,24
Grapes,2023-02-12,177,82
Tomato,2023-02-13,425,89
Potato,2023-02-13,215,67
Onion,2023-02-13,278,32
Carrot,2023-02-13,192,85
Cabbage,2023-02-13,126,119
Brinjal,2023-02-13,362,32
Cauliflower,2023-02-13,222,62
Spinach,2023-02-13,277,76
Beans,2023-02-13,498,113
Apple,2023-02-13,480,27
Banana,2023-02-13,101,65
Mango,2023-02-13,143,114
Orange,2023-02-13,487,93
Papaya,2023-02-13,462,120
Grapes,2023-02-13,90,13
Tomato,2023-02-14,219,80
Potato,2023-02-14,124,96
Onion,2023-02-14,303,34
Carrot,2023-02-14,423,65
Cabbage,2023-02-14,429,55
Brinjal,2023-02-14,311,89
Cauliflower,2023-02-14,250,69
Spinach,2023-02-14,431,27
Beans,2023-02-14,204,26
Apple,2023-02-14,458,50
Banana,2023-02-14,133,31
Mango,2023-02-14,260,83
Orange,2023-02-14,203,39
Papaya,2023-02-14,474,73
Grapes,2023-02-14,207,38
Tomato,2023-02-15,365,39
Potato,2023-02-15,474,99
Onion,2023-02-15,476,98
Carrot,2023-02-15,128,115
Cabbage,2023-02-15,192,27
Brinjal,2023-02-15,385,91
Cauliflower,2023-02-15,434,40
Spinach,2023-02-15,297,120
Beans,2023-02-15,81,114
Apple,2023-02-15,67,20
Banana,2023-02-15,491,97
Mango,2023-02-15,450,28
Orange,2023-02-15,471,38
Papaya,2023-02-15,321,14
Grapes,2023-02-15,324,76
Tomato,2023-02-16,262,43
Potato,2023-02-16,288,57
Onion,2023-02-16,153,100
Carrot,2023-02-16,105,52
Cabbage,2023-02-16,393,19
Brinjal,2023-02-16,235,88
Cauliflower,2023-02-16,292,118
Spinach,2023-02-16,499,26
Beans,2023-02-16,390,51
Apple,2023-02-16,428,57
Banana,2023-02-16,442,75
Mango,2023-02-16,183,19
Orange,2023-02-16,247,61
Papaya,2023-02-16,67,25
Grapes,2023-02-16,432,87
Tomato,2023-02-17,91,87
Potato,2023-02-17,390,74
Onion,2023-02-17,242,111
Carrot,2023-02-17,217,76
Cabbage,2023-02-17,431,50
Brinjal,2023-02-17,153,119
Cauliflower,2023-02-17,280,70
Spinach,2023-02-17,50,97
Beans,2023-02-17,415,111
Apple,2023-02-17,154,45
Banana,2023-02-17,120,26
Mango,2023-02-17,254,98
Orange,2023-02-17,98,12
Papaya,2023-02-17,362,19
Grapes,2023-02-17,275,18
Tomato,2023-02-18,195,49
Potato,2023-02-18,284,75
Onion,2023-02-18,124,19
Carrot,2023-02-18,265,52
Cabbage,2023-02-18,374,55
Brinjal,2023-02-18,306,111
Cauliflower,2023-02-18,468,115
Spinach,2023-02-18,108,117
Beans,2023-02-18,197,86
Apple,2023-02-18,242,114
Banana,2023-02-18,360,12
Mango,2023-02-18,495,116
Orange,2023-02-18,468,100
Papaya,2023-02-18,210,20
Grapes,2023-02-18,226,31
Tomato,2023-02-19,369,75
Potato,2023-02-19,246,113
Onion,2023-02-19,53,96
Carrot,2023-02-19,70,84
Cabbage,2023-02-19,240,27
Brinjal,2023-02-19,408,119
Cauliflower,2023-02-19,126,78
Spinach,2023-02-19,89,96
Beans,2023-02-19,224,99
Apple,2023-02-19,331,76
Banana,2023-02-19,368,107
Mango,2023-02-19,358,112
Orange,2023-02-19,460,84
Papaya,2023-02-19,474,23
Grapes,2023-02-19,466,19
Tomato,2023-02-20,397,64
Potato,2023-02-20,222,80
Onion,2023-02-20,256,30
Carrot,2023-02-20,281,49
Cabbage,2023-02-20,67,94
Brinjal,2023-02-20,161,111
Cauliflower,2023-02-20,291,70
Spinach,2023-02-20,80,111
Beans,2023-02-20,163,39
Apple,2023-02-20,74,18
Banana,2023-02-20,63,51
Mango,2023-02-20,80,35
Orange,2023-02-20,52,73
Papaya,2023-02-20,332,109
Grapes,2023-02-20,184,51
Tomato,2023-02-21,106,44
Potato,2023-02-21,283,82
Onion,2023-02-21,65,103
Carrot,2023-02-21,450,118
Cabbage,2023-02-21,122,97
Brinjal,2023-02-21,188,23
Cauliflower,2023-02-21,244,119
Spinach,2023-02-21,125,20
Beans,2023-02-21,386,86
Apple,2023-02-21,444,60
Banana,2023-02-21,387,30
Mango,2023-02-21,253,101
Orange,2023-02-21,322,92
Papaya,2023-02-21,401,42
Grapes,2023-02-21,419,18
Tomato,2023-02-22,264,69
Potato,2023-02-22,338,71
Onion,2023-02-22,368,10
Carrot,2023-02-22,353,116
Cabbage,2023-02-22,500,26
Brinjal,2023-02-22,445,99
Cauliflower,2023-02-22,479,41
Spinach,2023-02-22,101,65
Beans,2023-02-22,400,41
Apple,2023-02-22,403,77
Banana,2023-02-22,370,48
Mango,2023-02-22,245,33
Orange,2023-02-22,50,83
Papaya,2023-02-22,120,83
Grapes,2023-02-22,322,81
Tomato,2023-02-23,166,17
Potato,2023-02-23,324,119
Onion,2023-02-23,63,102
Carrot,2023-02-23,125,77
Cabbage,2023-02-23,309,74
Brinjal,2023-02-23,128,74
Cauliflower,2023-02-23,424,56
Spinach,2023-02-23,57,68
Beans,2023-02-23,150,49
Apple,2023-02-23,363,81
Banana,2023-02-23,343,98
Mango,2023-02-23,244,85
Orange,2023-02-23,484,100
Papaya,2023-02-23,55,72
Grapes,2023-02-23,484,94
Tomato,2023-02-24,443,27
Potato,2023-02-24,417,52
Onion,2023-02-24,368,42
Carrot,2023-02-24,357,11
Cabbage,2023-02-24,375,67
Brinjal,2023-02-24,442,120
Cauliflower,2023-02-24,325,24
Spinach,2023-02-24,433,13
Beans,2023-02-24,145,57
Apple,2023-02-24,165,84
Banana,2023-02-24,153,102
Mango,2023-02-24,303,27
Orange,2023-02-24,155,56
Papaya,2023-02-24,347,56
Grapes,2023-02-24,348,63
Tomato,2023-02-25,427,76
Potato,2023-02-25,402,40
Onion,2023-02-25,143,74
Carrot,2023-02-25,406,90
Cabbage,2023-02-25,341,54
Brinjal,2023-02-25,261,45
Cauliflower,2023-02-25,135,48
Spinach,2023-02-25,77,71
Beans,2023-02-25,495,20
Apple,2023-02-25,439,27
Banana,2023-02-25,57,80
Mango,2023-02-25,485,54
Orange,2023-02-25,262,70
Papaya,2023-02-25,257,112
Grapes,2023-02-25,107,33
Tomato,2023-02-26,240,103
Potato,2023-02-26,488,37
Onion,2023-02-26,370,41
Carrot,2023-02-26,194,21
Cabbage,2023-02-26,64,100
Brinjal,2023-02-26,168,106
Cauliflower,2023-02-26,458,100
Spinach,2023-02-26,283,103
Beans,2023-02-26,327,53
Apple,2023-02-26,61,35
Banana,2023-02-26,167,114
Mango,2023-02-26,223,118
Orange,2023-02-26,195,25
Papaya,2023-02-26,65,26
Grapes,2023-02-26,315,57
Tomato,2023-02-27,431,70
Potato,2023-02-27,155,67
Onion,2023-02-27,216,46
Carrot,2023-02-27,90,46
Cabbage,2023-02-27,362,22
Brinjal,2023-02-27,281,17
Cauliflower,2023-02-27,431,24
Spinach,2023-02-27,450,90
Beans,2023-02-27,487,115
Apple,2023-02-27,224,77
Banana,2023-02-27,417,39
Mango,2023-02-27,133,105
Orange,2023-02-27,117,53
Papaya,2023-02-27,429,54
Grapes,2023-02-27,200,92
Tomato,2023-02-28,200,20
Potato,2023-02-28,127,115
Onion,2023-02-28,452,91
Carrot,2023-02-28,191,10
Cabbage,2023-02-28,228,16
Brinjal,2023-02-28,348,50
Cauliflower,2023-02-28,64,37
Spinach,2023-02-28,246,82
Beans,2023-02-28,288,88
Apple,2023-02-28,401,17
Banana,2023-02-28,286,110
Mango,2023-02-28,496,39
Orange,2023-02-28,479,82
